2021-01-10 00:00:00.392 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredDeals 144  - There is no expired DEAL
2021-01-10 00:00:26.719 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:26.910 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:27.088 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:27.268 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:27.466 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:27.683 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:27.840 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:28.018 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - desFolIQNCjUASPuzDZhIc:APA91bG2T0Yur9qS5gC2X75ckyP6zQEuQJmlfAGc3R9QZn0XwKxUJ5GY3YDojVFCAkb-Ji37kdChZ6eszz7kIaLtV89sYolZhco6QcFzQ-Y4W05Akrm1BA9wXC3IJE4skk8NC5LfFLjV
2021-01-10 00:00:28.173 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:28.326 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:28.463 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:28.636 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:28.779 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:28.921 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - evCHrIF7JVKQMI46ocRsHl:APA91bETDy_GpKdN6KlJuixWG73MdYZ4VaYvT0JgRmySvdGiPGMr_smCIuiK0wak5ci083ibmyji_w6ac65LasBYbKt0OssUNvOaDDka8DKI-C4RZgnjZu4kLP3CapAzB-vJI4S8570I
