2021-01-22 00:00:31.467 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:31.605 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - f1kcC6pjMhu55I3oNqMqK-:APA91bFZjvwqunM4L4Pukq6rwLVfzrF0I1WAAKJ4ZIN8TIP60unsshVVe5Bn6xYonFxjjlnp48-Po9IT-Yto_Ar5CkScq7f_fwhV7-0wQQXjVaVbp7YNi3ud9hfJ5i4Nu0nUj5r-pLKM
2021-01-22 00:00:31.726 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:31.863 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:32.017 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:32.152 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:32.296 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:32.437 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:32.550 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:32.725 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:32.852 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:33.040 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:33.163 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:33.306 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:33.419 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:33.593 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:33.709 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:33.881 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:34.005 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:34.193 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:34.311 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:34.454 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:34.564 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:34.716 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
